turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00354-B1,2026-1,TCC00354,B1,1,terca,20:00,22:00,308,20:00-22:00,SALA 308,20:00-22:00 SALA 308,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00354-B1,2026-1,TCC00354,B1,2,quinta,20:00,22:00,308,20:00-22:00,SALA 308,20:00-22:00 SALA 308,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00363-A1,2026-1,TCC00363,A1,1,terca,20:00,22:00,202,20:00-22:00,SALA 202,20:00-22:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00363-A1,2026-1,TCC00363,A1,2,quinta,20:00,22:00,202,20:00-22:00,SALA 202,20:00-22:00 SALA 202,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00324-A1,2026-1,TCC00324,A1,1,segunda,20:00,22:00,217,20:00-22:00,SALA 217,20:00-22:00 SALA 217,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00324-A1,2026-1,TCC00324,A1,2,quarta,20:00,22:00,217,20:00-22:00,SALA 217,20:00-22:00 SALA 217,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00297-A1,2026-1,TCC00297,A1,1,terca,07:00,09:00,213,07:00-09:00,SALA 213,07:00-09:00 SALA 213,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00297-A1,2026-1,TCC00297,A1,2,quinta,07:00,09:00,213,07:00-09:00,SALA 213,07:00-09:00 SALA 213,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00298-A1,2026-1,TCC00298,A1,1,segunda,11:00,13:00,217,11:00-13:00,SALA 217,11:00-13:00 SALA 217,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00298-A1,2026-1,TCC00298,A1,2,quarta,11:00,13:00,217,11:00-13:00,SALA 217,11:00-13:00 SALA 217,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00337-A1,2026-1,TCC00337,A1,1,segunda,18:00,20:00,217,18:00-20:00,SALA 217,18:00-20:00 SALA 217,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00337-A1,2026-1,TCC00337,A1,2,quarta,18:00,20:00,217,18:00-20:00,SALA 217,18:00-20:00 SALA 217,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00361-A1,2026-1,TCC00361,A1,1,terca,20:00,22:00,302,20:00-22:00,SALA 302,20:00-22:00 SALA 302,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00361-A1,2026-1,TCC00361,A1,2,quinta,20:00,22:00,302,20:00-22:00,SALA 302,20:00-22:00 SALA 302,2,dados/brutos/QH-2026-1.pdf
2026-1-TCC00301-AA,2026-1,TCC00301,AA,1,terca,11:00,13:00,L305,11:00-13:00,LAB. 305,11:00-13:00 LAB. 305,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00301-BA,2026-1,TCC00301,BA,1,quinta,11:00,13:00,L305,11:00-13:00,LAB. 305,11:00-13:00 LAB. 305,3,dados/brutos/QH-2026-1.pdf
